customer_id,frequency,monetary,recency,churned
12346,12,77556.46,326,1
12347,8,5633.32,2,0
12348,5,2019.4,75,0
12349,4,4428.69,19,0
12350,1,334.4,310,1
12351,1,300.93,375,1
12352,10,2849.84,36,0
12353,2,406.76,204,1
12354,1,1079.4,232,1
12355,2,947.61,214,1
12356,6,6373.68,23,0
12357,3,18287.66,33,0
12358,5,3887.07,2,0
12359,10,8935.94,58,0
12360,8,4252.89,52,0
12361,4,511.25,287,1
12362,11,5356.23,3,0
12363,2,552.0,110,1
12364,4,1313.1,8,0
12365,2,641.38,291,1
12366,1,500.24,634,1
12367,1,168.9,4,0
12368,1,917.6999999999999,628,1
12369,3,1791.15,413,1
12370,7,4320.31,51,0
12371,5,4067.38,45,0
12372,3,1298.04,72,0
12373,3,1127.65,311,1
12374,4,2989.2200000000003,25,0
12375,2,457.5,11,0
12376,2,503.15,390,1
12377,4,3426.32,315,1
12378,2,5416.32,130,1
12379,4,1620.22,82,0
12380,11,9676.300000000001,22,0
12381,5,1845.31,5,0
12383,5,1850.56,185,1
12384,2,585.27,29,0
12385,1,1938.4,379,1
12386,2,660.8,338,1
12387,1,143.94,415,1
12388,8,3901.11,16,0
12389,3,1433.33,403,1
12390,1,549.84,80,0
12391,6,2773.42,22,0
12392,1,234.75000000000003,591,1
12393,6,2399.4500000000003,72,0
12394,2,1272.48,64,0
12395,15,5067.27,19,0
12396,1,931.43,674,1
12397,2,2409.9,36,0
12398,1,1635.6599999999999,46,0
12399,7,1962.3,119,1
12400,1,205.25,414,1
12401,1,84.3,303,1
12402,6,1256.9,323,1
12403,2,1019.36,50,0
12404,1,63.24,682,1
12405,1,1710.39,149,1
12406,5,6390.36,22,0
12407,5,1708.1200000000001,50,0
12408,8,4340.7699999999995,33,0
12409,7,23419.29,79,0
12410,3,1013.71,309,1
12411,1,346.9,410,1
12412,6,2596.93,75,0
12413,4,999.45,67,0
12414,6,952.41,217,1
12415,28,144458.37,24,0
12416,1,202.56,657,1
12417,20,6816.91,3,0
12418,4,2021.2,113,1
12419,2,503.01,386,1
12420,1,600.39,64,0
12421,6,1098.6,16,0
12422,17,5231.8,96,1
12423,10,2622.39,1,0
12424,4,3340.03,163,1
12425,2,1741.41,78,0
12426,2,1345.21,195,1
12427,3,1129.3,22,0
12428,9,7956.46,26,0
12429,8,7485.91,9,0
12430,1,256.4,43,0
12431,27,10857.97,36,0
12432,5,5059.32,43,0
12433,10,20581.26,1,0
12434,3,1103.43,85,0
12435,6,13925.93,80,0
12436,1,509.01,100,1
12437,39,12683.4,2,0
12438,2,2906.85,14,0
12439,2,1158.18,683,1
12440,2,859.2,462,1
12441,1,347.1,367,1
12442,1,172.06,3,0
12443,1,485.31,732,1
12444,5,5005.46,21,0
12445,2,434.98,22,0
12446,1,1002.3100000000001,58,0
12447,1,476.49,243,1
12448,1,449.45,44,0
12449,6,4835.89,22,0
12450,5,688.2,156,1
12451,8,12669.88,11,0
12452,2,430.57,17,0
12453,1,707.09,134,1
12454,5,16679.78,56,0
12455,10,5879.95,73,0
12456,3,3181.04,44,0
12457,8,2995.91,66,0
12458,4,1777.49,71,0
12459,1,454.36,605,1
12460,1,326.65,456,1
12461,2,826.88,94,1
12462,2,1189.59,19,0
